page,time_in_video,mode,font_size,color,send_time,danmu_pool,user_hash,danmu_id,content
1,1.469,5,25,16777215,1758369281,0,85ccfef9,1940101167245884928,寄明月？（关注点错误）
1,27.593,5,25,15138834,1758388834,0,33e01c8d,1940265184053185280,赛博坦音效绷不住
1,30.031,1,25,16777215,1758376278,0,918151f8,1940159862948352768,没上传过身份证吗，现在感觉很多民生服务都需要上传身份证的呀
1,177.851,1,25,16777215,1758374485,0,8742477e,1940144818198536448,“兄弟们”
1,278.327,1,25,16777215,1758372852,0,8254eee8,1940131119911809280,法律真的要严了，现在游走于法律边缘的甚至踩红线的人越来越多，再不严苛些会有更多人为了钱铤而走险
1,29.579,1,25,16777215,1758371831,0,d69746c6,1940122559421499136,没有上传过那是不可能的，泄露了而已
1,271.051,1,25,16777215,1758413646,0,1325c719,1940473326355300096,又不是每个人都喜欢考公，考不了公算什么惩罚？
1,27.841,5,25,16777215,1758384003,0,5140639c,1940224659165643520,贝利亚没有绷住
1,59.496,5,25,8700107,1758378575,0,fae15b19,1940179125692497920,在弹幕上，到处艾特的才是喜欢开合的
1,262.056,1,25,16777215,1758375413,0,9ad051a7,1940152602734362880,考不了公？也许根本不在意
1,289.453,1,25,16777215,1758372683,0,1487b446,1940129705030225408,这键盘膜还挺有意思的
1,2.983,5,25,15138834,1758445912,0,c92edd3d,1940743993055411456,往往最怕啥，就最会污蔑别人干了啥
1,29.776,5,25,16777215,1758431961,0,a977cec0,1940626962821338880,为什么一到这种话题，评论区就刷怪？
1,476.883,1,25,16777215,1758374162,0,b142da75,1940142107596127232,犯罪成本太低，惩罚力度太轻
1,246.38,5,25,16777215,1758371516,0,988a8abd,1940119915742751232,太短了，还缓
1,59.35,1,25,16707842,1758370823,0,fdd04853,1940114103679605504,滴滴，美团，阿里都把开盒业务外包规避管理
1,37.611,5,25,15138834,1758370550,0,f05d0107,1940111809663444992,大多数都是黑客攻击窃取
1,247.44,1,25,16777215,1758369437,0,61f51a85,1940102476338706176,这么短？
1,203.657,1,25,16777215,1758369269,0,2c46b460,1940101062883297792,“供述”，说明已经落网了！
1,244.1,1,25,16777215,1758419661,0,a11be0c6,1940523781139934464,罚的没有赚的多
1,468.463,1,25,16777215,1758415724,0,1e092b9,1940490760592283648,现在手机和网络这么发达，还不下调刑事责任年龄等什么？？？成年人的合法利益就不用保护吗？
